iter	Passed	Remaining
564	4551	3504
565	4559	3496
566	4566	3487
567	4573	3478
568	4579	3469
569	4586	3460
570	4595	3452
571	4602	3443
572	4609	3435
573	4616	3426
574	4624	3418
575	4632	3410
576	4641	3402
577	4648	3393
578	4656	3385
579	4663	3377
580	4671	3368
581	4678	3360
582	4686	3352
583	4695	3345
584	4703	3336
585	4710	3327
586	4717	3319
587	4723	3310
588	4730	3301
589	4738	3292
590	4744	3283
591	4752	3275
592	4758	3266
593	4765	3257
594	4773	3249
595	4779	3240
596	4787	3231
597	4793	3222
598	4801	3214
599	4807	3205
600	4814	3196
601	4820	3187
602	4829	3179
603	4837	3171
604	4844	3162
605	4851	3154
606	4858	3145
607	4866	3137
608	4874	3129
609	4881	3121
610	4888	3112
611	4895	3103
612	4902	3095
613	4909	3086
614	4917	3078
615	4924	3070
616	4933	3062
617	4942	3055
618	4950	3047
619	4957	3038
620	4965	3030
621	4972	3021
622	4979	3013
623	4986	3004
624	4992	2995
625	5000	2987
626	5006	2978
627	5015	2970
628	5022	2962
629	5029	2954
630	5036	2945
631	5044	2937
632	5052	2929
633	5059	2921
634	5066	2912
635	5073	2903
636	5081	2895
637	5088	2887
638	5095	2878
639	5101	2869
640	5109	2861
641	5117	2853
642	5124	2845
643	5132	2837
644	5140	2829
645	5149	2822
646	5158	2814
647	5167	2807
648	5177	2800
649	5185	2792
650	5194	2784
651	5202	2776
652	5209	2768
653	5217	2760
654	5225	2752
655	5234	2744
656	5241	2736
657	5249	2728
658	5256	2720
659	5263	2711
660	5270	2703
661	5278	2695
662	5285	2686
663	5293	2678
664	5299	2669
665	5307	2661
666	5314	2653
667	5322	2645
668	5328	2636
669	5335	2627
670	5344	2620
671	5352	2612
672	5359	2604
673	5366	2595
674	5376	2588
675	5383	2580
676	5392	2572
677	5400	2564
678	5408	2557
679	5416	2548
680	5425	2541
681	5433	2533
682	5442	2525
683	5450	2518
684	5459	2510
685	5467	2502
686	5476	2495
687	5489	2489
688	5499	2482
689	5510	2475
690	5524	2470
691	5536	2464
692	5546	2457
693	5557	2450
694	5565	2442
695	5574	2434
696	5582	2427
697	5592	2419
698	5601	2411
699	5609	2403
700	5618	2396
701	5627	2388
702	5639	2382
703	5648	2374
704	5657	2367
705	5666	2359
706	5675	2351
707	5684	2344
708	5694	2337
709	5705	2330
710	5715	2323
711	5726	2316
712	5739	2310
713	5750	2303
714	5760	2296
715	5771	2289
716	5782	2282
717	5791	2274
718	5800	2266
719	5809	2259
720	5818	2251
721	5827	2243
722	5836	2236
723	5846	2228
724	5856	2221
725	5866	2213
726	5874	2206
727	5886	2199
728	5896	2191
729	5906	2184
730	5916	2177
731	5926	2169
732	5937	2162
733	5947	2155
734	5957	2147
735	5967	2140
736	5978	2133
737	5989	2126
738	6001	2119
739	6012	2112
740	6022	2105
741	6037	2099
742	6053	2094
743	6067	2087
744	6079	2080
745	6091	2074
746	6105	2067
747	6118	2061
748	6132	2054
749	6146	2048
750	6158	2041
751	6169	2034
752	6181	2027
753	6191	2020
754	6203	2012
755	6217	2006
756	6229	1999
757	6242	1993
758	6254	1985
759	6267	1979
760	6279	1972
761	6293	1965
762	6306	1958
763	6319	1952
764	6333	1945
765	6346	1938
766	6359	1931
767	6373	1925
768	6385	1918
769	6399	1911
770	6412	1904
771	6424	1897
772	6441	1891
773	6456	1885
774	6471	1878
775	6484	1871
776	6497	1864
777	6511	1858
778	6523	1850
779	6535	1843
780	6546	1835
781	6558	1828
782	6569	1820
783	6580	1813
784	6593	1805
785	6605	1798
786	6617	1790
787	6630	1783
788	6644	1776
789	6656	1769
790	6669	1762
791	6680	1754
792	6693	1747
793	6709	1740
794	6724	1734
795	6740	1727
796	6756	1720
797	6770	1713
798	6783	1706
799	6795	1698
800	6809	1691
801	6822	1684
802	6838	1677
803	6851	1670
804	6862	1662
805	6874	1654
806	6887	1647
807	6899	1639
808	6911	1631
809	6923	1623
810	6935	1616
811	6946	1608
812	6958	1600
813	6974	1593
814	6986	1585
815	6998	1578
816	7011	1570
817	7026	1563
818	7040	1555
819	7055	1548
820	7070	1541
821	7085	1534
822	7100	1526
823	7114	1519
824	7129	1512
825	7143	1504
826	7158	1497
827	7171	1489
828	7184	1482
829	7198	1474
830	7212	1466
831	7225	1459
832	7244	1452
833	7259	1444
834	7272	1437
835	7284	1429
836	7297	1421
837	7309	1413
838	7322	1405
839	7335	1397
840	7349	1389
841	7365	1382
842	7380	1374
843	7393	1366
844	7405	1358
845	7416	1350
846	7432	1342
847	7454	1336
848	7472	1328
849	7490	1321
850	7511	1315
851	7531	1308
852	7551	1301
853	7568	1293
854	7582	1285
855	7596	1277
856	7610	1269
857	7624	1261
858	7637	1253
859	7654	1246
860	7666	1237
861	7679	1229
862	7694	1221
863	7708	1213
864	7722	1205
865	7736	1197
866	7751	1189
867	7765	1180
868	7780	1172
869	7794	1164
870	7808	1156
871	7821	1148
872	7835	1139
873	7847	1131
874	7860	1122
875	7873	1114
876	7885	1105
877	7897	1097
878	7909	1088
879	7923	1080
880	7940	1072
881	7957	1064
882	7973	1056
883	7988	1048
884	8003	1039
885	8016	1031
886	8029	1022
887	8041	1014
888	8053	1005
889	8069	997
890	8083	988
891	8096	980
892	8108	971
893	8119	962
894	8131	954
895	8144	945
896	8157	936
897	8170	928
898	8184	919
899	8198	910
900	8212	902
901	8225	893
902	8240	885
903	8254	876
904	8267	867
905	8282	859
906	8296	850
907	8310	842
908	8324	833
909	8338	824
910	8353	816
911	8367	807
912	8381	798
913	8395	789
914	8409	781
915	8423	772
916	8435	763
917	8448	754
918	8464	746
919	8477	737
920	8489	728
921	8502	719
922	8515	710
923	8530	701
924	8545	692
925	8559	683
926	8572	675
927	8585	666
928	8596	657
929	8608	647
930	8620	638
931	8632	629
932	8644	620
933	8658	611
934	8671	602
935	8683	593
936	8695	584
937	8707	575
938	8719	566
939	8732	557
940	8745	548
941	8759	539
942	8773	530
943	8787	521
944	8801	512
945	8815	503
946	8828	494
947	8842	485
948	8857	475
949	8871	466
950	8885	457
951	8900	448
952	8920	439
953	8932	430
954	8945	421
955	8956	412
956	8969	403
957	8983	393
958	8996	384
959	9009	375
960	9021	366
961	9033	356
962	9045	347
963	9056	338
964	9069	328
965	9082	319
966	9094	310
967	9106	301
968	9117	291
969	9129	282
970	9141	273
971	9154	263
972	9168	254
973	9183	245
974	9196	235
975	9207	226
976	9219	217
977	9231	207
978	9243	198
979	9254	188
980	9265	179
981	9278	170
982	9292	160
983	9306	151
984	9321	141
985	9334	132
986	9346	123
987	9357	113
988	9368	104
989	9379	94
990	9391	85
991	9402	75
992	9413	66
993	9426	56
994	9437	47
995	9447	37
996	9459	28
997	9470	18
998	9481	9
999	9494	0
