2024,2023,2010,State,1900,1990,2000,2003,2024_per,2023_per,2010_per,1990_per,2000_per,2003_per
3210931,3194176,2702483,NV,42335,1201833,1998257,2241154,0.9560001693981764,0.9556650797227442,0.8753779182485557,0.4844089474091066,0.7115036811823507,0.7721556767115448
3089060,3067732,2921998,AR,1311564,2350725,2673400,2725714,0.9197151490583669,0.9178343166901302,0.9464823743077916,0.9474795773608081,0.9518965484784472,0.9391034878424829
2944376,2940546,2858266,KS,1470495,2477574,2688418,2723507,0.8766379454344941,0.8797815547791971,0.9258385495415241,0.998607138818929,0.9572438898284321,0.9383430994093352
2940452,2939690,2970615,MS,1551270,2573216,2844658,2881281,0.8754696410814207,0.8795254482564999,0.9622302063021057,1.0371564551949162,1.012875039949728,0.9927017422056301
2115266,2114371,2064614,NM,195310,1515069,1819046,1874614,0.6297845249001623,0.6325983697449541,0.6687618406135483,0.610661364384376,0.647693427442031,0.6458698696042021
1990456,1964726,1570819,ID,161772,1006749,1293953,1366332,0.59262446722761,0.5878261027017135,0.5088136599435698,0.40577869254311594,0.46072768556644433,0.4707490025552187
1988698,1978379,1829591,NE,1066300,1578385,1711263,1739291,0.5921010525862482,0.5919109419007603,0.5926340927311267,0.6361814132714968,0.6093159808628986,0.599246378920547
1766107,1770071,1854265,WV,958800,1793477,1808344,1810354,0.525828362918825,0.5295872999264654,0.6006264000850915,0.7228760616262345,0.6438828503260676,0.6237300595842374
1430877,1435138,1364004,HI,154001,1108229,1211537,1257608,0.42601932411127946,0.42937874155436007,0.4418229391277218,0.44668106415637354,0.43138246751474996,0.4332897945780846
1405105,1402054,1316807,NH,411588,1109252,1235786,1287687,0.4183461488341621,0.41948034412806073,0.42653506808188096,0.4470933929518047,0.4400166185598812,0.4436530585928763
1402106,1395722,1327651,ME,694466,1227928,1274923,1305728,0.41745324752048535,0.417585873915773,0.4300476149306447,0.4949267576894373,0.45395182287565927,0.44986881197865564
1142746,1132812,990730,MT,243329,799065,902195,917621,0.3402332126037865,0.33892586704392036,0.3209134580851727,0.32206990119380796,0.3212374902949475,0.31615242157376267
1098082,1095962,1053994,RI,428556,1003464,1048319,1076164,0.3269352651966325,0.32790072059369874,0.34140569008814053,0.404454645531394,0.3732667157194499,0.3707760116763966
1044321,1031890,899647,DE,184735,666168,783600,817491,0.3109288405468922,0.3087310276938724,0.29141020240221993,0.26850464222369474,0.2790102997634889,0.28165414617228335
928767,919318,816193,SD,401570,696004,754844,764309,0.27652459966640086,0.2750506264402944,0.26437810311074794,0.28053029416942943,0.26877137661392425,0.2633310933169805
788940,783926,674752,ND,319146,638800,642200,633837,0.2348934852991227,0.234542712513879,0.21856307739735997,0.2574737385351686,0.22866311192969957,0.21837894123287174
733536,733406,713982,AK,63592,550043,626932,648818,0.2183978853048106,0.21942764063694015,0.2312703083893369,0.22169947959470845,0.22322675504252634,0.22354041795103374
647818,647464,625886,VT,343641,562758,608827,619107,0.19287680667668908,0.1937146654340922,0.20273459027898255,0.22682436779989734,0.2167802498393385,0.21330394276424308
586485,584057,564531,WY,92531,453588,493782,501242,0.17461594763309754,0.1747439337931369,0.18286071422716643,0.18282247669801202,0.17581707993595597,0.17269534164374611
