2024,per_2024,2023,2010,State,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2003,per_2023,per_2010,per_1900,per_1910,per_1920,per_1930,per_1940,per_1950,per_1960,per_1970,per_1980,per_1990,per_2000,per_2003
2940452,0.88,2939690,2970615,MS,1551270,1797114,1790618,2009821,2183796,2178914,2178141,2216912,2520638,2573216,2844658,2881281,0.008795254482564999,0.009622302063021056,0.020429336478192416,0.01955565088889812,0.016959184882295482,0.016377856290742784,0.0166066270373022,0.014475562041359356,0.012198423650139284,0.010950124446164482,0.011157833681570303,0.010371564551949162,0.01012875039949728,0.009927017422056301
2115266,0.63,2114371,2064614,NM,195310,327301,360350,423317,531818,681187,951023,1016000,1302894,1515069,1819046,1874614,0.006325983697449541,0.006687618406135482,0.002572120718866323,0.003561590467598184,0.003412923511511208,0.003449573365701902,0.004044197891068571,0.00452544922849982,0.005326092964149894,0.005018388838755492,0.005767378955929355,0.00610661364384376,0.0064769342744203096,0.0064586986960420215
1990456,0.59,1964726,1570819,ID,161772,325594,431866,445032,524873,588637,667191,712567,943935,1006749,1293953,1366332,0.005878261027017135,0.005088136599435697,0.002130444487903552,0.0035430154099961907,0.004090261205001525,0.0036265270095107187,0.003991384796450729,0.003910595559686912,0.0037365250796711873,0.003519624291009335,0.004178414249175432,0.0040577869254311595,0.004607276855664443,0.004707490025552187
1988698,0.59,1978379,1829591,NE,1066300,1192214,1296372,1377963,1315834,1325510,1411330,1483493,1569825,1578385,1711263,1739291,0.0059191094190076034,0.005926340927311266,0.014042559636102403,0.012973312081958508,0.012278114273525206,0.011228900478182284,0.010006229739866498,0.008805993371671502,0.007903988424142918,0.007327504639342422,0.006948973338960652,0.006361814132714968,0.006093159808628986,0.00599246378920547
1766107,0.53,1770071,1854265,WV,958800,1221119,1463701,1729205,1901974,2005552,1860421,1744237,1949644,1793477,1808344,1810354,0.005295872999264654,0.006006264000850915,0.012626846271307309,0.013287847547679437,0.013862909828562416,0.014091140946001595,0.014463518045021518,0.013323835820584171,0.010419069989323822,0.008615412886756263,0.008630276735600849,0.007228760616262345,0.006438828503260677,0.006237300595842375
1430877,0.43,1435138,1364004,HI,154001,191874,255881,368300,422770,499794,632772,768561,964691,1108229,1211537,1257608,0.004293787415543601,0.004418229391277218,0.0020281048734121787,0.0020879148226859495,0.002423483505061744,0.003001244624213085,0.003214944854079891,0.00332036925500463,0.003543765500004791,0.0037961987640775193,0.004270292573589598,0.004466810641563735,0.0043138246751474995,0.004332897945780846
1405105,0.42,1402054,1316807,NH,411588,430572,443083,465293,491524,533242,606921,737681,920610,1109252,1235786,1287687,0.004194803441280607,0.0042653506808188095,0.00542037797571426,0.004685354248275091,0.004196498926740448,0.0037916321339505265,0.0037377830840806215,0.003542580227608132,0.003398990001182745,0.003643671355277549,0.0040751640122819845,0.0044709339295180475,0.004400166185598812,0.004436530585928763
1402106,0.42,1395722,1327651,ME,694466,742371,768014,797423,847226,913774,969265,992048,1124660,1227928,1274923,1305728,0.00417585873915773,0.004300476149306447,0.009145719047402693,0.008078256641505317,0.007273964306284915,0.006498130578261935,0.0064427108568315865,0.006070635292985911,0.005428255149346279,0.0049000813097536495,0.004978409921739995,0.004949267576894373,0.004539518228756593,0.004498688119786556
1142746,0.34,1132812,990730,MT,243329,376053,548889,537606,559456,591024,674767,694409,786690,799065,902195,917621,0.0033892586704392033,0.0032091345808517267,0.00320450341713698,0.00409209498324692,0.0051986018407378255,0.004380904473105348,0.004254370433768052,0.003926453535996543,0.0037789535806605425,0.0034299354085938604,0.003482354935121402,0.0032206990119380795,0.0032123749029494752,0.0031615242157376267
1098082,0.33,1095962,1053994,RI,428556,542610,604397,687497,713346,791896,859488,946725,947154,1003464,1048319,1076164,0.003279007205936987,0.0034140569008814054,0.005643836807098848,0.0059045178707778185,0.00572432560451461,0.005602353177878423,0.005424623440354032,0.005260941771131999,0.0048134619137195035,0.004676214737569678,0.00419266344585539,0.00404454645531394,0.003732667157194499,0.003707760116763966
1044321,0.31,1031890,899647,DE,184735,202322,223003,238380,266505,318085,446292,548104,594338,666168,783600,817491,0.003087310276938724,0.002914102024022199,0.002432854032050434,0.0022016067979792296,0.0021120915272305647,0.0019425378591363433,0.0020266312139852905,0.002113189943212899,0.0024994060933924674,0.0027072824764539766,0.0026308912880933836,0.0026850464222369476,0.0027901029976348892,0.0028165414617228337
928767,0.28,919318,816193,SD,401570,583888,636547,692849,642961,652740,680514,665507,690768,696004,754844,764309,0.0027505062644029438,0.0026437810311074794,0.0052884466595420065,0.006353692579445124,0.006028822596036978,0.005645966159764897,0.00488938230793117,0.004336462277481767,0.0038111389812922514,0.003287178052080365,0.003057747465741195,0.002805302941694294,0.0026877137661392423,0.002633310933169805
788940,0.23,783926,674752,ND,319146,577056,646872,680845,641935,619636,632446,617761,652717,638800,642200,633837,0.00234542712513879,0.0021856307739735997,0.004202969837403674,0.006279348822247221,0.0061266120653206,0.005548146609210855,0.004881580114255446,0.0041165366604922204,0.0035419397751734116,0.0030513434128134165,0.0028893112486336886,0.002574737385351686,0.002286631119296996,0.0021837894123287174
733536,0.22,733406,713982,AK,63592,64356,55036,59278,72524,128643,226167,300382,401851,550043,626932,648818,0.0021942764063694014,0.002312703083893369,0.000837470179479531,0.0007003025231598704,0.0005212533880381042,0.0004830512593920805,0.0005515071092965206,0.0008546366344365091,0.0012666218034925432,0.0014836945631526103,0.0017788300512698403,0.0022169947959470846,0.0022322675504252635,0.0022354041795103374
647818,0.19,647464,625886,VT,343641,355956,352428,359611,359231,377747,389881,444330,511456,562758,608827,619107,0.001937146654340922,0.0020273459027898254,0.004525554943177216,0.0038734055089485802,0.003337893179727687,0.0029304387199508325,0.002731763973025459,0.0025095529857706053,0.0021834828925859045,0.002194705425909673,0.0022640065663697925,0.0022682436779989735,0.002167802498393385,0.002133039427642431
586485,0.17,584057,564531,WY,92531,145965,194402,225565,250742,290529,330066,332416,469557,453588,493782,501242,0.001747439337931369,0.0018286071422716644,0.0012185802172823702,0.0015883469729789062,0.0018412075939636516,0.0018381095402134795,0.0019067618388289142,0.0019301223289740176,0.0018484959883253074,0.0016419219923462063,0.0020785368267942903,0.00182822476698012,0.0017581707993595595,0.0017269534164374612
